01/12/20 11:03:34:312 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 8964 | Invoking GC client started
01/12/20 11:03:34:312 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 8964 | override path for acrobat is 0
01/12/20 11:03:34:312 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 8964 | Get client install path Started
01/12/20 11:03:34:312 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 8964 | Get client install path Ended
01/12/20 11:03:34:312 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 8964 | path found is  /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
01/12/20 11:03:34:317 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 8964 | Invoking GC Client for caller id 11
01/12/20 11:03:34:317 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 8964 | GC Client path = /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app/Contents/MacOS/AdobeGCClient
01/12/20 11:03:34:317 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 8964 | Argument 1 is  = --xmlFilePath=/tmp/adobegc_Q1lvnb
01/12/20 11:03:34:318 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 8964 | Argument 2 is = --workflowInitiator=GCInvokerUtility
01/12/20 11:03:34:372 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 8964 | Invoking GC client completed
01/12/20 11:03:34:378 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 8964 | SaveGCInvokerNextLaunchTimestamp 
01/12/20 11:03:34:378 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 8964 | SaveGCInvokerNextLaunchTimestamp Wait Period 86400
01/12/20 11:03:34:384 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 8964 | SaveGCInvokerNextLaunchTimestamp Wait Period Xtnd 1578906214
01/12/20 11:03:34:384 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 8964 | Perform WF completed
01/12/20 11:03:34:384 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 8964 | Semaphore signalled
01/12/20 11:03:34:384 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 8964 | ***********AdobeGC Updater library End*******************
01/12/20 11:03:34:384 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 8964 | AdobeGCInvokerUtility : AdobeGC_ReleaseRef called.
01/12/20 11:03:35:259 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 22172 | *********** Adobe GCClient Launched = 6.4.0.55 ************
01/12/20 11:03:35:271 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 22172 | Initiating workflow
01/12/20 11:03:35:273 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 22172 | Client request processing started
01/12/20 11:03:35:288 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 22172 | Lock acquired, continue with the workflow
01/12/20 11:03:35:288 | [INFO] |  |  |  | AdobeGCClientImpl |  |  | 22172 | Initializing client workflow
01/12/20 11:03:35:299 | [DEBUG] |  |  |  | AdobeGCClientImpl |  |  | 22172 | Trying to acquire the semaphore
01/12/20 11:03:35:299 | [DEBUG] |  |  |  | AdobeGCClientImpl |  |  | 22172 | Semaphore acquired
01/12/20 11:03:35:299 | [DEBUG] |  |  |  | AdobeGCClientImpl |  |  | 22172 | AdobeGCClient invoked from Scheduler entry, sleeping for 5 minutes to avoid disk overusage
01/12/20 11:08:35:396 | [INFO] |  |  |  | AdobeGCHDWrapper |  |  | 22172 | Getting list of NGL based installed products
01/12/20 11:08:35:396 | [INFO] |  |  |  | AdobeGCHDWrapper |  |  | 22172 | Querying for all HD based installed products
01/12/20 11:08:35:466 | [INFO] |  |  |  | AdobeGCHDWrapper |  |  | 22172 | Successfully fetched list of installed products
01/12/20 11:08:35:466 | [INFO] |  |  |  | AdobeGCHDWrapper |  |  | 22172 | Parsing response from HD
01/12/20 11:08:35:466 | [INFO] |  |  |  | AdobeGCHDWrapper |  |  | 22172 | Successfully parsed response from HD
01/12/20 11:08:35:467 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 22172 | Getting NGLAppId
01/12/20 11:08:35:476 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 22172 | Returning NGLAppId
01/12/20 11:08:35:476 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 22172 | Getting NGLAppId
01/12/20 11:08:35:477 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 22172 | Returning NGLAppId
01/12/20 11:08:35:477 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 22172 | Getting NGLAppId
01/12/20 11:08:35:478 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 22172 | Returning NGLAppId
01/12/20 11:08:35:479 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 22172 | Getting NGLAppId
01/12/20 11:08:35:480 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 22172 | Returning NGLAppId
01/12/20 11:08:35:480 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 22172 | Getting NGLAppId
01/12/20 11:08:35:481 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 22172 | Returning NGLAppId
01/12/20 11:08:35:482 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 22172 | Getting NGLAppId
01/12/20 11:08:35:482 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 22172 | Returning NGLAppId
01/12/20 11:08:35:541 | [DEBUG] |  |  |  | AdobeGCClientFetchRuleWFImpl |  |  | 22172 | Payload code for LEID : V7{}Illustrator-22-Mac-GM found in the cache : {ILST-22.0.0-64-ADBEADBEADBEADBEADBEA}
01/12/20 11:08:35:542 | [DEBUG] |  |  |  | AdobeGCClientFetchRuleWFImpl |  |  | 22172 | Payload code for LEID : V7{}PremierePro-12-Mac-GM found in the cache : {PPRO-12.0.0-64-ADBEADBEADBEADBEADBEA}
01/12/20 11:08:35:542 | [INFO] |  |  |  | AdobeGCClientFetchRuleWFImpl |  |  | 22172 | istargeted flag read
01/12/20 11:08:35:542 | [INFO] |  |  |  | AdobeGCClientFetchRuleWFImpl |  |  | 22172 | Getting machine id
01/12/20 11:08:35:542 | [INFO] |  |  |  | SLCoreService |  |  | 22172 | Starting up SLCore 2.0 Release (build 2.0.1.360321).
01/12/20 11:08:35:542 | [ERROR] |  |  |  | SLCoreService |  |  | 22172 | user based licensing: 0
01/12/20 11:08:35:542 | [INFO] |  |  |  | SLCoreService |  |  | 22172 | Service construction took 0.1 ms and succeed.
01/12/20 11:08:35:542 | [INFO] |  |  |  | SLCoreService |  |  | 22172 | Shutting down SLCore 2.0 Release (build 2.0.1.360321).
01/12/20 11:08:35:543 | [INFO] |  |  |  | SLCoreService |  |  | 22172 | Service destruction took 0.0 ms and succeed.
01/12/20 11:08:35:543 | [INFO] |  |  |  | AdobeGCClientFetchRuleWFImpl |  |  | 22172 | machine id is Tc870jX505/9pcCx50NHJe6vWDkd/suh
01/12/20 11:08:35:543 | [INFO] |  |  |  | AdobeGCClientFetchRuleWFImpl |  |  | 22172 | Reading AGS service status
01/12/20 11:08:35:545 | [INFO] |  |  |  | AdobeGCClientFetchRuleWFImpl |  |  | 22172 | Reading AGM service status
01/12/20 11:08:35:547 | [ERROR] |  |  |  | AdobeGCClientFetchRuleWFImpl |  |  | 22172 | Last updateCheck request status read : Success
01/12/20 11:08:35:547 | [ERROR] |  |  |  | AdobeGCClientFetchRuleWFImpl |  |  | 22172 | Last update check attempted timestamp read : 1578418515000
01/12/20 11:08:35:548 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 22172 | Fetching Rules started
01/12/20 11:08:35:550 | [INFO] |  |  |  | DispatchClientLib |  |  | 22172 | __OOBELIB_LOG_FILE__
01/12/20 11:08:35:550 | [INFO] |  |  |  | DispatchClientLib |  |  | 22172 | Dispatch table loaded from path: /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app/..//dispatchtable.xml 
01/12/20 11:08:35:550 | [INFO] |  |  |  | DispatchClientLib |  |  | 22172 | (re)load Local Dispatch Table status-[0].
01/12/20 11:08:35:550 | [INFO] |  |  |  | DispatchClientLib |  |  | 22172 | Scope : [2]
01/12/20 11:08:35:551 | [INFO] |  |  |  | DispatchClientLib |  |  | 22172 | Setting scope to GM
01/12/20 11:08:35:551 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 22172 | AdobeIALClient 1.0 Release (build 1.0.6.3) initializing session...
01/12/20 11:08:35:551 | [ERROR] |  |  |  | AdobeGCClientNSLookup |  |  | 22172 | Verifying if server domain is blocked
01/12/20 11:08:35:552 | [INFO] |  |  |  | DispatchClientLib |  |  | 22172 | EndPoint requested: [FetchRulesV2]
01/12/20 11:08:35:552 | [INFO] |  |  |  | DispatchClientLib |  |  | 22172 | Length of the URL: [50]
01/12/20 11:08:35:552 | [INFO] |  |  |  | DispatchClientLib |  |  | 22172 | Returning from getEndpointAddr: [0]
01/12/20 11:08:35:552 | [INFO] |  |  |  | DispatchClientLib |  |  | 22172 | EndPoint requested: [FetchRulesV2]
01/12/20 11:08:35:552 | [INFO] |  |  |  | DispatchClientLib |  |  | 22172 | Length of the URL: [50]
01/12/20 11:08:35:552 | [INFO] |  |  |  | DispatchClientLib |  |  | 22172 | URL found [https://genuine.adobe.com/server/services/rules/v2]
01/12/20 11:08:35:552 | [INFO] |  |  |  | DispatchClientLib |  |  | 22172 | Returning from getEndpointAddr: [0]
01/12/20 11:08:35:559 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 22172 | HTTPCommunicationAgent::processMessage Type:[POST] URI:[https://genuine.adobe.com/server/services/rules/v2] extURL:[].
01/12/20 11:08:36:339 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 22172 | HTTP Request Status code 200.
